Site Code,Planning Week Date Range (Mon - Sun),Mine/Mill,# PMs Scheduled,# PMs Completed as Scheduled,# Total Maintenance WO Completed,# Scheduled Maintenance WO,# Non-Scheduled Maintenance WO Completed,# Scheduled Maintenance WO Completed,PM Schedule Compliance (By Work Order Count)
HVC,2020-07-27 - 2020-08-02,Mill,253,,1,353,,1,
HVC,2020-08-03 - 2020-08-09,Mill,166,,2,258,1,1,
HVC,2020-08-10 - 2020-08-16,Mill,280,,1,400,,1,
HVC,2020-08-17 - 2020-08-23,Mill,237,,1,359,,1,
HVC,2020-08-24 - 2020-08-30,Mill,347,,1,433,,1,
HVC,2020-08-31 - 2020-09-06,Mill,260,,1,368,,1,
HVC,2020-09-07 - 2020-09-13,Mill,168,,3,281,,3,
HVC,2020-09-14 - 2020-09-20,Mill,310,,2,483,,2,
HVC,2020-09-21 - 2020-09-27,Mill,320,,2,492,1,2,
HVC,2020-09-28 - 2020-10-04,Mill,369,,2,597,,2,
HVC,2020-10-05 - 2020-10-11,Mill,412,,1,652,,1,
HVC,2020-10-12 - 2020-10-18,Mill,356,,3,543,1,2,
HVC,2020-10-19 - 2020-10-25,Mill,330,,1,501,1,,
HVC,2020-10-26 - 2020-11-01,Mill,437,,2,588,,2,
HVC,2020-11-02 - 2020-11-08,Mill,469,,2,630,,1,
HVC,2020-11-09 - 2020-11-15,Mill,362,,1,494,,1,
HVC,2020-11-16 - 2020-11-22,Mill,346,,1,526,,1,
HVC,2020-11-23 - 2020-11-29,Mill,400,,2,562,1,1,
HVC,2020-11-30 - 2020-12-06,Mill,364,,2,495,,2,
HVC,2020-12-07 - 2020-12-13,Mill,398,,1,521,,1,
HVC,2020-12-14 - 2020-12-20,Mill,405,,1,630,,1,
HVC,2020-12-21 - 2020-12-27,Mill,369,,1,475,,1,
HVC,2020-12-28 - 2021-01-03,Mill,385,,2,488,2,,
HVC,2021-01-04 - 2021-01-10,Mill,396,,3,498,1,1,
HVC,2021-01-11 - 2021-01-17,Mill,365,,1,468,1,1,
HVC,2021-01-18 - 2021-01-24,Mill,428,,1,546,,1,
